True_Label,Predicted_Label,Probability_<=50K,Probability_>50K,Correct
>50K,>50K,0.07498130432055769,0.9250186956794423,1
<=50K,<=50K,0.9868618495193846,0.013138150480615503,1
>50K,>50K,0.04335487023686739,0.9566451297631325,1
<=50K,<=50K,0.9852234831666286,0.014776516833371427,1
<=50K,<=50K,0.9039010431432377,0.09609895685676227,1
<=50K,<=50K,0.9969680214360528,0.003031978563947317,1
>50K,>50K,0.011856051716388441,0.9881439482836115,1
<=50K,>50K,0.41385680226072064,0.5861431977392794,0
>50K,>50K,0.16473302588540908,0.8352669741145909,1
<=50K,>50K,0.23675108457253652,0.7632489154274635,0
<=50K,<=50K,0.9979935895168349,0.00200641048316507,1
>50K,<=50K,0.7121906977219641,0.28780930227803597,0
>50K,>50K,0.08365257661756488,0.916347423382435,1
>50K,>50K,0.006678309727617834,0.993321690272382,1
<=50K,<=50K,0.9998544282287712,0.0001455717712286153,1
<=50K,<=50K,0.9932480035673258,0.006751996432674213,1
<=50K,<=50K,0.9999449393641764,5.5060635823520046e-05,1
<=50K,<=50K,0.9982434704697066,0.001756529530293347,1
>50K,>50K,0.014544524132081113,0.985455475867919,1
<=50K,<=50K,0.9605539772429618,0.03944602275703825,1
>50K,<=50K,0.9720226772187175,0.027977322781282447,0
<=50K,<=50K,0.8394083047474686,0.16059169525253134,1
<=50K,<=50K,0.997952988768137,0.0020470112318629148,1
<=50K,>50K,0.15874347940817637,0.8412565205918237,0
>50K,>50K,0.006858479428108211,0.9931415205718918,1
>50K,>50K,0.03133077987878477,0.9686692201212153,1
>50K,<=50K,0.765152421691802,0.23484757830819805,0
<=50K,<=50K,0.9905360271484158,0.009463972851584177,1
<=50K,<=50K,0.8746152115514365,0.12538478844856357,1
<=50K,<=50K,0.9727565996969816,0.02724340030301851,1
<=50K,<=50K,0.9854135502924642,0.014586449707535773,1
<=50K,<=50K,0.9417201911958273,0.058279808804172814,1
<=50K,<=50K,0.9969545858186667,0.00304541418133324,1
<=50K,>50K,0.2721352805744402,0.7278647194255597,0
<=50K,<=50K,0.9908769605702976,0.009123039429702396,1
<=50K,<=50K,0.9903114778440905,0.009688522155909507,1
<=50K,<=50K,0.9999928752284168,7.124771583234664e-06,1
<=50K,>50K,0.3321329141762341,0.6678670858237659,0
<=50K,<=50K,0.978637743651769,0.021362256348230944,1
>50K,>50K,0.008725747910927431,0.9912742520890725,1
<=50K,<=50K,0.9952371025914107,0.0047628974085891325,1
<=50K,<=50K,0.6321621929947713,0.3678378070052288,1
<=50K,>50K,0.23744005184947287,0.7625599481505272,0
<=50K,<=50K,0.9952475910728111,0.004752408927188807,1
<=50K,<=50K,0.7429605464021374,0.2570394535978627,1
>50K,>50K,0.04012930301868339,0.9598706969813166,1
<=50K,>50K,0.30114485811394354,0.6988551418860565,0
<=50K,<=50K,0.9687970392292188,0.031202960770781257,1
<=50K,<=50K,0.9996644877711224,0.0003355122288775102,1
<=50K,<=50K,0.9950742178445315,0.004925782155468465,1
<=50K,>50K,0.2786414506785978,0.7213585493214022,0
>50K,<=50K,0.9931334081429982,0.006866591857001796,0
<=50K,<=50K,0.999238763250538,0.000761236749461943,1
<=50K,<=50K,0.9914056003525967,0.008594399647403281,1
<=50K,>50K,0.25379831349943155,0.7462016865005684,0
<=50K,<=50K,0.9984812154549377,0.0015187845450621816,1
>50K,<=50K,0.9003317351959577,0.0996682648040422,0
>50K,>50K,0.06374195909496143,0.9362580409050386,1
<=50K,<=50K,0.8100436343704092,0.18995636562959073,1
>50K,>50K,0.47677678199436047,0.5232232180056395,1
<=50K,<=50K,0.999988601894757,1.1398105242988039e-05,1
<=50K,>50K,0.1243276920171657,0.8756723079828342,0
>50K,<=50K,0.8265913239572596,0.17340867604274035,0
<=50K,<=50K,0.9784604857068008,0.02153951429319921,1
<=50K,<=50K,0.986735020481972,0.013264979518027818,1
<=50K,>50K,0.3408348839576117,0.6591651160423884,0
<=50K,>50K,0.03397410735511085,0.966025892644889,0
<=50K,<=50K,0.9999852467421023,1.4753257897578456e-05,1
<=50K,<=50K,0.9999204105928785,7.958940712154804e-05,1
<=50K,<=50K,0.9981844266823621,0.001815573317637955,1
<=50K,<=50K,0.9967791100923553,0.003220889907644797,1
>50K,>50K,0.3005063477505322,0.6994936522494677,1
>50K,<=50K,0.6571154562344205,0.3428845437655796,0
>50K,>50K,0.093712526362514,0.906287473637486,1
<=50K,<=50K,0.9999737744333866,2.622556661324851e-05,1
<=50K,>50K,0.1349118436872658,0.8650881563127342,0
>50K,<=50K,0.765369071259251,0.234630928740749,0
>50K,<=50K,0.9321280754511007,0.06787192454889937,0
<=50K,>50K,0.07133871521548746,0.9286612847845126,0
>50K,>50K,0.04181524114763859,0.9581847588523614,1
<=50K,<=50K,0.9976710075221594,0.0023289924778405265,1
<=50K,>50K,0.4862914054419879,0.513708594558012,0
<=50K,<=50K,0.5812578752174055,0.41874212478259454,1
<=50K,<=50K,0.9998634377160607,0.00013656228393932752,1
<=50K,<=50K,0.9682605869433076,0.031739413056692485,1
<=50K,<=50K,0.9792437309507827,0.020756269049217294,1
<=50K,<=50K,0.9998309463297324,0.00016905367026764833,1
>50K,>50K,0.10639881417274286,0.8936011858272571,1
<=50K,>50K,0.3981567932270724,0.6018432067729276,0
<=50K,<=50K,0.9966421242200887,0.003357875779911328,1
>50K,<=50K,0.9065240756879996,0.09347592431200036,0
<=50K,<=50K,0.9926210797062833,0.00737892029371682,1
<=50K,<=50K,0.9979725640459469,0.0020274359540531184,1
<=50K,<=50K,0.9929163259350423,0.007083674064957621,1
<=50K,<=50K,0.5612175980244739,0.43878240197552604,1
<=50K,<=50K,0.8458171329747272,0.15418286702527279,1
<=50K,<=50K,0.7350828036018613,0.2649171963981386,1
<=50K,<=50K,0.9986185816929667,0.001381418307033421,1
<=50K,<=50K,0.6134034249856767,0.3865965750143233,1
>50K,>50K,0.04508270388684958,0.9549172961131503,1
>50K,>50K,0.43007477096907587,0.5699252290309241,1
<=50K,<=50K,0.5947056840296477,0.40529431597035226,1
<=50K,<=50K,0.9995832360333151,0.0004167639666849948,1
>50K,>50K,0.014015505734169702,0.9859844942658303,1
>50K,<=50K,0.6096855054876688,0.3903144945123313,0
<=50K,<=50K,0.9963327230593417,0.003667276940658286,1
<=50K,<=50K,0.9970743729169227,0.0029256270830773255,1
<=50K,>50K,0.1705513650640729,0.829448634935927,0
<=50K,<=50K,0.9999440263323889,5.5973667611077756e-05,1
>50K,>50K,0.2078767892819171,0.7921232107180828,1
<=50K,<=50K,0.9997390488543925,0.00026095114560749697,1
<=50K,>50K,0.07669843274803087,0.9233015672519691,0
<=50K,>50K,0.3040046301166915,0.6959953698833086,0
>50K,>50K,0.07129047493114081,0.9287095250688593,1
<=50K,>50K,0.3597869432952062,0.6402130567047937,0
<=50K,<=50K,0.999615917724948,0.00038408227505195067,1
>50K,>50K,0.05678725068145832,0.9432127493185417,1
<=50K,<=50K,0.7380237507362074,0.26197624926379265,1
<=50K,<=50K,0.9711186823851409,0.028881317614859247,1
>50K,<=50K,0.8972695597367206,0.10273044026327943,0
