node_pair,embedding_similarity,bc_jaccard_similarity,betweenness_node1,betweenness_node2
"(6329, 4426)",0.32735744,0.0,5.5115917190141975e-05,0.003085702892380969
"(20, 5258)",0.20517746,0.0,0.0006031403742617204,0.0001195587235728958
"(5319, 2524)",0.17281254,0.0,0.0020254501361728627,0.00019832873568219065
"(4279, 2387)",0.2738272,0.0,2.699200384836296e-05,0.0007624878625730033
"(2423, 5644)",0.15894286,0.0,0.0,2.561851107940107e-05
"(4241, 2461)",0.22520095,0.0,0.0003810807675026376,0.0
"(4812, 4258)",0.19188702,0.0,1.0139037442497932e-05,0.0
"(1327, 2769)",0.21674931,0.0,4.930973367603233e-05,1.9183010032668885e-05
"(792, 3418)",0.15351072,0.0,0.0007495450292724919,0.002815415965498281
"(7287, 1149)",0.32394212,0.0,0.0005156356456949034,0.0001640344004326005
